Product_Name,Category,Main_Category,Original_Price,Discount_Percent,Discounted_Price,In_Stock,Total_Quantity
T-Shirts 9622,T-Shirts,Clothing,620,10,558,True,100
Televisions 2188,Televisions,Electronics,2261,50,1130,True,1
Style Jeans Edition,Jeans,Clothing,4961,40,2977,True,40
Neo Fragrances Lite,Fragrances,Beauty & Personal Care,5238,30,3667,True,10
Elite Cookware Series,Cookware,Home & Kitchen,2745,30,1921,True,10
Smartwatches 8982,Smartwatches,Electronics,11073,15,9412,True,0
Elite Laptops 5000,Laptops,Electronics,1230,50,615,True,60
Vogue Shirts S,Shirts,Clothing,4095,30,2866,True,8
Luxury Shoes Lite,Shoes,Clothing,5762,30,4033,True,15
Luxury Beds X,Beds,Furniture,9618,40,5771,True,25
Home Decor 7415,Home Decor,Home & Kitchen,12428,5,11807,True,30
Activewear 1530,Activewear,Clothing,1142,35,742,True,500
Neo Sneakers Ultra,Sneakers,Clothing,671,0,671,True,12
Ultra Televisions Special,Televisions,Electronics,25941,10,23347,True,9
Luxury Televisions Max,Televisions,Electronics,7590,10,6831,True,500
Neo Smartphones S,Smartphones,Electronics,1862,60,745,True,25
Ultra Speakers 3000,Speakers,Electronics,37015,40,22209,True,7
Max Jeans Z,Jeans,Clothing,5727,30,4009,True,4
Ultra Skincare 5000,Skincare,Beauty & Personal Care,22826,30,15978,False,0
Ultra Laptops X,Laptops,Electronics,5380,20,4304,True,8
Classic T-Shirts Series,T-Shirts,Clothing,71794,60,28718,False,0
Shoes 7783,Shoes,Clothing,48268,15,41028,True,10
Trendy Televisions 5000,Televisions,Electronics,3565,10,3208,True,5
Ultra Sneakers Special,Sneakers,Clothing,17424,0,17424,False,0
Jeans 4695,Jeans,Clothing,11402,35,7411,True,3
Ultra Speakers Pro,Speakers,Electronics,29197,30,20438,True,9
Neo Shoes Elite,Shoes,Clothing,1406,10,1265,True,15
Smartphones 2215,Smartphones,Electronics,12021,0,12021,True,9
Trendy Activewear S,Activewear,Clothing,19507,40,11704,True,40
Kitchen Appliances 9962,Kitchen Appliances,Home & Kitchen,501,0,501,True,60
Headphones 2525,Headphones,Electronics,1058,30,741,True,50
Vogue T-Shirts Special,T-Shirts,Clothing,348,60,139,True,2
Smartwatches 8066,Smartwatches,Electronics,3472,15,2951,False,0
Fitness Gear 3703,Fitness Gear,"Sports, Toys & Others",12524,5,11898,True,12
Trendy Shirts S,Shirts,Clothing,34740,30,24318,True,300
Neo Laptops Z,Laptops,Electronics,5426,35,3527,True,80
Speakers 7705,Speakers,Electronics,40937,20,32750,True,80
Luxury Skincare Elite,Skincare,Beauty & Personal Care,819,60,328,True,7
Max Jeans Ultra,Jeans,Clothing,538,0,538,True,9
Trendy Cookware Special,Cookware,Home & Kitchen,4584,15,3896,True,10
Neo Shoes X,Shoes,Clothing,8118,30,5683,True,5
Max Toys Special,Toys,"Sports, Toys & Others",4722,40,2833,True,2
Premium Kurtas Z,Kurtas,Clothing,335,0,335,False,0
Max Fitness Gear Max,Fitness Gear,"Sports, Toys & Others",4388,35,2852,True,6
Ultra Makeup Lite,Makeup,Beauty & Personal Care,904,20,723,True,6
Sarees 8715,Sarees,Clothing,11768,10,10591,True,3
Style Activewear Elite,Activewear,Clothing,7936,0,7936,True,200
Royal Shirts Edition,Shirts,Clothing,1452,40,871,False,0
Trendy Home Decor 5000,Home Decor,Home & Kitchen,2526,0,2526,True,25
Premium Dresses Elite,Dresses,Clothing,1243,5,1181,True,200
Max Fragrances Ultra,Fragrances,Beauty & Personal Care,4542,5,4315,True,8
Activewear 2009,Activewear,Clothing,17056,50,8528,True,20
Luxury Jeans Plus,Jeans,Clothing,1368,25,1026,True,2
Neo Speakers Series,Speakers,Electronics,9489,35,6168,True,5
Speakers 4727,Speakers,Electronics,2473,5,2349,True,80
Value Shoes Edition,Shoes,Clothing,1758,25,1318,True,50
Kitchen Appliances 7858,Kitchen Appliances,Home & Kitchen,4287,20,3430,True,8
Shirts 8779,Shirts,Clothing,1283,40,770,True,8
Pro Shoes Special,Shoes,Clothing,2399,50,1200,True,12
Trendy Gaming Consoles Pro,Gaming Consoles,Electronics,1038,0,1038,True,0
Royal Laptops 2024,Laptops,Electronics,63369,25,47527,True,6
Super Sofas Collection,Sofas,Furniture,5159,0,5159,True,5
Elite Gaming Consoles Z,Gaming Consoles,Electronics,1984,20,1587,True,6
Beds 3067,Beds,Furniture,6508,5,6183,True,60
Ultra Dresses Series,Dresses,Clothing,4258,5,4045,True,7
Value Tablets 2024,Tablets,Electronics,3697,10,3327,True,5
Speakers 5225,Speakers,Electronics,10949,25,8212,True,12
Luxury Sneakers Max,Sneakers,Clothing,13192,10,11873,True,100
Royal Sneakers Edition,Sneakers,Clothing,2472,30,1730,True,6
Value Laptops Elite,Laptops,Electronics,2331,10,2098,True,3
Value T-Shirts X,T-Shirts,Clothing,3446,0,3446,True,8
Dresses 9561,Dresses,Clothing,247,35,161,True,40
T-Shirts 2843,T-Shirts,Clothing,687,5,653,True,15
Elite Televisions Plus,Televisions,Electronics,29130,15,24760,True,60
T-Shirts 2654,T-Shirts,Clothing,41816,25,31362,False,0
Fragrances 9775,Fragrances,Beauty & Personal Care,3565,10,3208,True,50
Kurtas 7732,Kurtas,Clothing,10427,0,10427,False,0
Style Sneakers Special,Sneakers,Clothing,7385,10,6646,True,12
Classic Skincare Pro,Skincare,Beauty & Personal Care,269717,60,107887,True,2
Trendy Kitchen Appliances 2024,Kitchen Appliances,Home & Kitchen,21121,25,15841,True,500
Style Office Chairs Edition,Office Chairs,Furniture,4173,25,3130,True,8
Neo Smartphones Ultra,Smartphones,Electronics,1423,25,1067,True,5
Classic Wardrobes Elite,Wardrobes,Furniture,610,0,610,True,25
Kitchen Appliances 1331,Kitchen Appliances,Home & Kitchen,6419,10,5777,True,7
Super Skincare Lite,Skincare,Beauty & Personal Care,1843,30,1290,True,15
Value Fitness Gear Special,Fitness Gear,"Sports, Toys & Others",776,0,776,True,15
T-Shirts 2609,T-Shirts,Clothing,2126,5,2020,True,10
Activewear 4734,Activewear,Clothing,1208,5,1148,True,80
Luxury Dresses Collection,Dresses,Clothing,44173,15,37547,True,6
Sarees 6257,Sarees,Clothing,15502,70,4651,False,0
Trendy Televisions Max,Televisions,Electronics,4877,0,4877,True,12
Pro Televisions Series,Televisions,Electronics,33742,15,28681,False,0
T-Shirts 9462,T-Shirts,Clothing,5449,0,5449,True,50
Smartphones 1920,Smartphones,Electronics,1608,60,643,True,9
Elite Wardrobes Max,Wardrobes,Furniture,35691,0,35691,True,25
Royal Sneakers Edition,Sneakers,Clothing,9929,10,8936,True,5
Value T-Shirts X,T-Shirts,Clothing,1279,30,895,True,300
Value Smartwatches Z,Smartwatches,Electronics,3847,30,2693,True,8
Jeans 5087,Jeans,Clothing,1579,15,1342,True,40
Premium Headphones 5000,Headphones,Electronics,816,10,734,True,1
Shoes 5488,Shoes,Clothing,16426,10,14783,True,5
Classic Smartphones Edition,Smartphones,Electronics,58973,5,56024,True,10
Ultra Office Chairs X,Office Chairs,Furniture,800,0,800,True,100
Classic Dresses Collection,Dresses,Clothing,10244,15,8707,True,12
Value Smartphones Special,Smartphones,Electronics,2115,5,2009,True,200
Neo Shoes 5000,Shoes,Clothing,2616,5,2485,True,10
Max Tablets Max,Tablets,Electronics,2281,25,1711,True,12
Trendy Jeans Pro,Jeans,Clothing,1603,60,641,True,4
Vogue Laptops Z,Laptops,Electronics,5248,20,4198,True,60
Office Chairs 4688,Office Chairs,Furniture,1673,0,1673,True,6
Max Televisions Series,Televisions,Electronics,7004,0,7004,True,150
Value Beds X,Beds,Furniture,4616,60,1846,True,200
Elite Kitchen Appliances S,Kitchen Appliances,Home & Kitchen,3612,5,3431,False,0
Premium Office Chairs Ultra,Office Chairs,Furniture,1514,0,1514,False,0
Super Kitchen Appliances Lite,Kitchen Appliances,Home & Kitchen,2328,20,1862,True,25
Home Decor 5511,Home Decor,Home & Kitchen,13155,25,9866,True,50
Trendy Speakers 5000,Speakers,Electronics,9450,25,7088,True,4
Pro Laptops Collection,Laptops,Electronics,1383,5,1314,True,20
Royal Smartphones Edition,Smartphones,Electronics,5607,0,5607,True,2
Premium Dresses 5000,Dresses,Clothing,13087,60,5235,True,12
Vogue Toys Lite,Toys,"Sports, Toys & Others",562,5,534,False,0
Ultra Wardrobes Special,Wardrobes,Furniture,9986,25,7490,True,5
Max Shoes 3000,Shoes,Clothing,2082,30,1457,True,8
Kitchen Appliances 5278,Kitchen Appliances,Home & Kitchen,10346,25,7760,True,9
Style Shoes Lite,Shoes,Clothing,1827,10,1644,True,20
Royal Kitchen Appliances Ultra,Kitchen Appliances,Home & Kitchen,472,5,448,True,3
Fitness Gear 7620,Fitness Gear,"Sports, Toys & Others",594,20,475,False,0
Style Televisions 2024,Televisions,Electronics,5245,40,3147,True,5
Smartphones 9148,Smartphones,Electronics,6907,60,2763,True,15
Tablets 5250,Tablets,Electronics,1521,0,1521,True,20
Headphones 7628,Headphones,Electronics,11302,0,11302,True,15
Premium Shoes Z,Shoes,Clothing,568,60,227,True,40
Luxury Dresses Ultra,Dresses,Clothing,4522,30,3165,True,8
Style Televisions Special,Televisions,Electronics,1021,50,510,True,50
Sneakers 6873,Sneakers,Clothing,2112,0,2112,True,9
Value Kitchen Appliances S,Kitchen Appliances,Home & Kitchen,5241,20,4193,True,10
Smartwatches 3967,Smartwatches,Electronics,1610,30,1127,True,25
Classic Sarees 2024,Sarees,Clothing,2989,25,2242,True,1
Activewear 3999,Activewear,Clothing,18229,10,16406,True,25
Headphones 6499,Headphones,Electronics,2328,0,2328,True,20
Pro Home Decor 5000,Home Decor,Home & Kitchen,14603,20,11682,True,7
Value Fitness Gear Lite,Fitness Gear,"Sports, Toys & Others",1135,5,1078,True,3
Neo Headphones 5000,Headphones,Electronics,9812,15,8340,True,3
Max Smartphones Collection,Smartphones,Electronics,32100,60,12840,True,200
Beds 8709,Beds,Furniture,198,10,178,True,30
Style Sneakers Max,Sneakers,Clothing,1749,40,1049,True,4
Pro Fitness Gear Plus,Fitness Gear,"Sports, Toys & Others",10434,0,10434,True,8
Office Chairs 7253,Office Chairs,Furniture,3784,25,2838,True,20
Trendy Activewear Pro,Activewear,Clothing,7983,60,3193,True,80
Laptops 3470,Laptops,Electronics,2247,0,2247,True,2
Pro Sneakers 3000,Sneakers,Clothing,5515,0,5515,True,6
Vogue Shoes Collection,Shoes,Clothing,4025,15,3421,True,100
Value Headphones S,Headphones,Electronics,22487,0,22487,True,0
Kitchen Appliances 8988,Kitchen Appliances,Home & Kitchen,6859,30,4801,True,5
Elite Skincare 3000,Skincare,Beauty & Personal Care,7642,50,3821,True,500
Premium Sarees Collection,Sarees,Clothing,2885,15,2452,True,20
Super Headphones S,Headphones,Electronics,2614,5,2483,True,6
Elite Toys Special,Toys,"Sports, Toys & Others",2808,15,2387,True,3
Cookware 2442,Cookware,Home & Kitchen,8229,30,5760,True,1
Trendy Wardrobes Series,Wardrobes,Furniture,2851,0,2851,True,6
Classic T-Shirts Edition,T-Shirts,Clothing,7182,20,5746,True,100
Royal Dining Sets Z,Dining Sets,Furniture,73175,25,54881,False,0
Shirts 1230,Shirts,Clothing,15291,25,11468,False,0
Wardrobes 9700,Wardrobes,Furniture,3225,5,3064,True,200
Style Skincare X,Skincare,Beauty & Personal Care,23486,30,16440,True,9
Pro Home Decor Ultra,Home Decor,Home & Kitchen,2899,0,2899,True,5
Neo Headphones Lite,Headphones,Electronics,348,0,348,True,12
Trendy Fitness Gear Lite,Fitness Gear,"Sports, Toys & Others",1329,50,664,True,150
Value Shoes Pro,Shoes,Clothing,433,30,303,True,60
Max Home Decor Collection,Home Decor,Home & Kitchen,3120,0,3120,True,3
Sneakers 9587,Sneakers,Clothing,5047,5,4795,True,30
Style T-Shirts 2024,T-Shirts,Clothing,43563,0,43563,True,15
Classic Activewear 5000,Activewear,Clothing,7537,5,7160,True,150
Fitness Gear 3701,Fitness Gear,"Sports, Toys & Others",3706,5,3521,False,0
Gaming Consoles 7609,Gaming Consoles,Electronics,14484,0,14484,True,12
Pro Home Decor 2024,Home Decor,Home & Kitchen,278,15,236,True,100
Premium Dresses S,Dresses,Clothing,6693,30,4685,False,0
Luxury Jeans Pro,Jeans,Clothing,13423,20,10738,True,10
Style T-Shirts Elite,T-Shirts,Clothing,721,25,541,True,3
Activewear 1796,Activewear,Clothing,21796,0,21796,True,7
Premium Gaming Consoles Plus,Gaming Consoles,Electronics,7651,60,3060,True,7
Premium Skincare Pro,Skincare,Beauty & Personal Care,2872,40,1723,True,300
Trendy Home Decor Collection,Home Decor,Home & Kitchen,11217,35,7291,True,7
Royal Laptops Elite,Laptops,Electronics,94324,40,56594,True,10
Elite Makeup Z,Makeup,Beauty & Personal Care,6242,50,3121,True,25
Style Speakers X,Speakers,Electronics,6804,20,5443,True,5
Style Jeans Plus,Jeans,Clothing,2712,0,2712,False,0
Max Sarees 2024,Sarees,Clothing,1632,25,1224,True,40
Ultra Office Chairs Plus,Office Chairs,Furniture,14502,30,10151,True,100
Super Smartphones Plus,Smartphones,Electronics,1619,30,1133,True,20
Vogue Skincare Z,Skincare,Beauty & Personal Care,5408,20,4326,True,25
Smartwatches 9571,Smartwatches,Electronics,2648,0,2648,False,0
Televisions 6864,Televisions,Electronics,9184,10,8266,True,300
Cookware 5839,Cookware,Home & Kitchen,7603,50,3802,True,4
Royal Wardrobes Special,Wardrobes,Furniture,18985,20,15188,True,50
Makeup 8875,Makeup,Beauty & Personal Care,2539,20,2031,True,6
Premium Sneakers X,Sneakers,Clothing,3469,5,3296,True,300
Ultra Gaming Consoles Special,Gaming Consoles,Electronics,1380,10,1242,False,0
Ultra Smartphones Max,Smartphones,Electronics,2766,50,1383,True,40
Fitness Gear 2659,Fitness Gear,"Sports, Toys & Others",8047,25,6035,False,0
Laptops 4787,Laptops,Electronics,13183,35,8569,True,10
Max Activewear Elite,Activewear,Clothing,1486,15,1263,True,20
Ultra Jeans S,Jeans,Clothing,15261,25,11446,True,50
Kitchen Appliances 5760,Kitchen Appliances,Home & Kitchen,28708,5,27273,True,4
Style Sneakers 3000,Sneakers,Clothing,8434,30,5904,False,0
Ultra Shoes Plus,Shoes,Clothing,56524,15,48045,True,150
Jeans 1751,Jeans,Clothing,1802,15,1532,True,7
Elite Cookware S,Cookware,Home & Kitchen,977,25,733,True,60
Classic Headphones Elite,Headphones,Electronics,488,50,244,True,12
Televisions 2522,Televisions,Electronics,34456,0,34456,True,10
Neo Sneakers S,Sneakers,Clothing,11536,40,6922,True,7
Trendy Sofas Collection,Sofas,Furniture,4584,5,4355,True,15
Trendy Kurtas Special,Kurtas,Clothing,7091,15,6027,True,40
Jeans 3732,Jeans,Clothing,1141,0,1141,True,9
Luxury Shirts Pro,Shirts,Clothing,118428,5,112507,True,20
T-Shirts 3611,T-Shirts,Clothing,5829,15,4955,True,30
Vogue Activewear Special,Activewear,Clothing,5681,0,5681,True,30
Beds 8178,Beds,Furniture,12658,15,10759,False,0
Trendy Sneakers 5000,Sneakers,Clothing,9209,50,4604,True,80
Value Gaming Consoles 2024,Gaming Consoles,Electronics,6592,0,6592,True,10
Classic Speakers Plus,Speakers,Electronics,1763,35,1146,True,6
Headphones 8220,Headphones,Electronics,9095,10,8186,True,6
Max Televisions 3000,Televisions,Electronics,56909,25,42682,True,10
Value Headphones Ultra,Headphones,Electronics,28329,5,26913,True,100
Dresses 6542,Dresses,Clothing,39094,0,39094,True,8
Luxury Kitchen Appliances Plus,Kitchen Appliances,Home & Kitchen,2535,0,2535,True,40
Luxury Smartwatches Ultra,Smartwatches,Electronics,1361,0,1361,True,3
Style Televisions Edition,Televisions,Electronics,4184,0,4184,True,10
Value Jeans Pro,Jeans,Clothing,5298,25,3974,False,0
Elite Activewear Special,Activewear,Clothing,20436,50,10218,True,50
Toys 3709,Toys,"Sports, Toys & Others",546,35,355,True,6
Classic Shirts 3000,Shirts,Clothing,35990,25,26992,False,0
Max Gaming Consoles Pro,Gaming Consoles,Electronics,4013,0,4013,True,6
Royal Headphones Edition,Headphones,Electronics,2829,5,2688,True,9
Pro Televisions Max,Televisions,Electronics,1322,5,1256,True,50
Super Televisions Collection,Televisions,Electronics,573,5,544,False,0
Classic Smartwatches Collection,Smartwatches,Electronics,14367,15,12212,True,6
Classic Smartphones X,Smartphones,Electronics,5420,20,4336,False,0
Trendy Shirts Pro,Shirts,Clothing,921,10,829,True,20
Premium Gaming Consoles Max,Gaming Consoles,Electronics,915,10,824,True,8
Toys 5990,Toys,"Sports, Toys & Others",3185,40,1911,False,0
Dresses 4389,Dresses,Clothing,43145,35,28044,True,20
Classic Sneakers 3000,Sneakers,Clothing,3516,5,3340,True,15
Premium Headphones Ultra,Headphones,Electronics,698,50,349,True,10
Skincare 6439,Skincare,Beauty & Personal Care,3580,60,1432,True,12
Vogue Jeans Special,Jeans,Clothing,3457,10,3111,False,0
Makeup 6952,Makeup,Beauty & Personal Care,148,10,133,True,60
Kurtas 2868,Kurtas,Clothing,4592,15,3903,True,15
Style Jeans Ultra,Jeans,Clothing,3650,60,1460,True,4
Neo T-Shirts Lite,T-Shirts,Clothing,12181,50,6090,True,50
Neo Smartwatches Plus,Smartwatches,Electronics,54515,0,54515,True,300
Elite Laptops Special,Laptops,Electronics,21314,10,19183,True,300
Luxury Sports Equipment Series,Sports Equipment,"Sports, Toys & Others",3474,20,2779,True,8
Vogue Jeans Z,Jeans,Clothing,1169,15,994,False,0
Value Home Decor Edition,Home Decor,Home & Kitchen,139798,0,139798,True,12
Value T-Shirts Z,T-Shirts,Clothing,5322,40,3193,True,4
Laptops 2765,Laptops,Electronics,5018,25,3764,False,0
Shoes 1761,Shoes,Clothing,4775,40,2865,True,5
Laptops 3018,Laptops,Electronics,6375,40,3825,True,6
Tablets 8381,Tablets,Electronics,4084,30,2859,True,9
Vogue Dresses 2024,Dresses,Clothing,2337,15,1986,True,8
Sofas 1071,Sofas,Furniture,2420,25,1815,True,50
Premium Toys Series,Toys,"Sports, Toys & Others",4722,0,4722,False,0
Headphones 8912,Headphones,Electronics,2431,25,1823,True,5
Kitchen Appliances 3903,Kitchen Appliances,Home & Kitchen,1951,0,1951,True,6
Elite Sarees 2024,Sarees,Clothing,5659,30,3961,True,12
Style Cookware 3000,Cookware,Home & Kitchen,3537,5,3360,True,4
Trendy Televisions Series,Televisions,Electronics,34814,0,34814,True,20
Shirts 5067,Shirts,Clothing,157,0,157,True,15
Neo T-Shirts Lite,T-Shirts,Clothing,20364,0,20364,True,30
Elite T-Shirts 2024,T-Shirts,Clothing,24897,30,17428,True,300
Luxury Skincare Lite,Skincare,Beauty & Personal Care,333,30,233,True,200
Toys 9975,Toys,"Sports, Toys & Others",3156,15,2683,True,300
Sofas 4560,Sofas,Furniture,3040,0,3040,True,6
Vogue Sarees Lite,Sarees,Clothing,791,0,791,True,4
Style Sarees 2024,Sarees,Clothing,1793,0,1793,True,7
Activewear 3913,Activewear,Clothing,1163,0,1163,True,150
Luxury Fitness Gear 3000,Fitness Gear,"Sports, Toys & Others",48076,50,24038,True,500
Televisions 6771,Televisions,Electronics,16630,5,15798,True,80
Vogue Televisions Series,Televisions,Electronics,25735,10,23162,False,0
Value Shoes Lite,Shoes,Clothing,12591,0,12591,True,300
Tablets 7920,Tablets,Electronics,1135,5,1078,True,9
Smartwatches 9564,Smartwatches,Electronics,2492,15,2118,True,0
Trendy Laptops 2024,Laptops,Electronics,9309,20,7447,True,10
Premium Smartphones Z,Smartphones,Electronics,1006,5,956,True,2
Super T-Shirts S,T-Shirts,Clothing,12450,0,12450,True,15
Kurtas 5105,Kurtas,Clothing,3605,10,3244,True,8
Premium Sofas Lite,Sofas,Furniture,3027,5,2876,True,10
Royal Speakers Pro,Speakers,Electronics,12417,0,12417,True,20
Classic Sneakers Plus,Sneakers,Clothing,8779,60,3512,True,100
Style Sneakers Ultra,Sneakers,Clothing,3082,25,2312,True,25
Jeans 7371,Jeans,Clothing,22241,20,17793,True,9
Super Sneakers Lite,Sneakers,Clothing,1209,10,1088,False,0
Premium Sports Equipment Edition,Sports Equipment,"Sports, Toys & Others",10974,15,9328,True,150
Super Cookware 3000,Cookware,Home & Kitchen,10653,20,8522,True,4
Shoes 1881,Shoes,Clothing,3295,30,2306,False,0
Max Shoes Z,Shoes,Clothing,7529,30,5270,True,7
Super Sports Equipment Collection,Sports Equipment,"Sports, Toys & Others",969,0,969,True,2
T-Shirts 7025,T-Shirts,Clothing,16380,15,13923,True,25
Dresses 9955,Dresses,Clothing,3875,10,3488,True,100
Shoes 4218,Shoes,Clothing,2497,50,1248,True,5
Fragrances 4170,Fragrances,Beauty & Personal Care,19270,25,14452,True,60
Elite Home Decor Max,Home Decor,Home & Kitchen,1972,20,1578,True,80
Elite Laptops Plus,Laptops,Electronics,790,0,790,False,0
Trendy Smartwatches Elite,Smartwatches,Electronics,651,20,521,True,6
Elite Sofas S,Sofas,Furniture,10833,0,10833,True,150
Max Activewear X,Activewear,Clothing,933,10,840,True,7
Luxury Kurtas 2024,Kurtas,Clothing,48234,0,48234,True,15
Neo Sofas Pro,Sofas,Furniture,329,30,230,True,2
Headphones 5934,Headphones,Electronics,44711,0,44711,True,2
Vogue Sneakers 5000,Sneakers,Clothing,6483,10,5835,True,40
Luxury Sneakers 3000,Sneakers,Clothing,4345,50,2172,False,0
Elite Sports Equipment Max,Sports Equipment,"Sports, Toys & Others",2426,0,2426,True,6
Shirts 3611,Shirts,Clothing,8279,15,7037,True,5
Royal Jeans Edition,Jeans,Clothing,4692,10,4223,True,25
Pro Laptops Z,Laptops,Electronics,20679,0,20679,True,0
Neo Smartphones 5000,Smartphones,Electronics,5716,35,3715,False,0
Super T-Shirts Special,T-Shirts,Clothing,5991,0,5991,True,3
Beds 1144,Beds,Furniture,3071,15,2610,True,5
Neo Speakers Collection,Speakers,Electronics,4576,20,3661,True,8
Style Headphones Ultra,Headphones,Electronics,7352,25,5514,True,10
Fitness Gear 6258,Fitness Gear,"Sports, Toys & Others",533,25,400,True,8
Super Home Decor Plus,Home Decor,Home & Kitchen,854,5,811,True,7
Royal Kurtas Lite,Kurtas,Clothing,12950,0,12950,True,500
Royal Fitness Gear 5000,Fitness Gear,"Sports, Toys & Others",6153,30,4307,True,25
Royal Toys Collection,Toys,"Sports, Toys & Others",3879,20,3103,True,1
Max Sneakers Z,Sneakers,Clothing,5047,40,3028,True,9
Ultra Gaming Consoles Plus,Gaming Consoles,Electronics,7742,40,4645,True,100
Super Smartphones X,Smartphones,Electronics,2443,40,1466,True,7
Pro Kitchen Appliances Z,Kitchen Appliances,Home & Kitchen,1791,15,1522,True,3
Jeans 7950,Jeans,Clothing,6356,10,5720,False,0
Shoes 4368,Shoes,Clothing,1381,35,898,True,20
Luxury Fragrances Series,Fragrances,Beauty & Personal Care,8378,15,7121,False,0
Ultra Smartwatches 2024,Smartwatches,Electronics,539,0,539,True,2
Luxury Kurtas 3000,Kurtas,Clothing,18779,40,11267,True,4
Ultra Shoes Pro,Shoes,Clothing,9108,50,4554,False,0
Max Jeans Max,Jeans,Clothing,6873,15,5842,True,5
Pro Headphones Elite,Headphones,Electronics,17678,0,17678,True,12
Classic Wardrobes Edition,Wardrobes,Furniture,42946,10,38651,False,0
Premium Beds Edition,Beds,Furniture,18421,35,11974,True,7
Royal Shoes X,Shoes,Clothing,450,50,225,True,300
Vogue Skincare Max,Skincare,Beauty & Personal Care,934,0,934,True,80
Beds 1745,Beds,Furniture,2187,0,2187,True,40
Sneakers 2189,Sneakers,Clothing,5097,50,2548,True,3
Royal Sofas Plus,Sofas,Furniture,9658,10,8692,True,4
Style Fitness Gear Lite,Fitness Gear,"Sports, Toys & Others",1918,20,1534,True,12
Max Home Decor Collection,Home Decor,Home & Kitchen,6282,60,2513,True,5
Value Dresses X,Dresses,Clothing,1846,0,1846,True,500
Royal Jeans Ultra,Jeans,Clothing,2225,25,1669,True,5
Trendy Beds Lite,Beds,Furniture,791,0,791,True,10
Beds 3360,Beds,Furniture,1484,10,1336,True,8
Super Toys 5000,Toys,"Sports, Toys & Others",850,35,552,True,20
T-Shirts 1182,T-Shirts,Clothing,1386,15,1178,True,4
Royal Shirts 2024,Shirts,Clothing,19386,70,5816,True,9
Premium Toys Edition,Toys,"Sports, Toys & Others",1434,20,1147,True,7
Ultra Shoes Lite,Shoes,Clothing,150947,10,135852,False,0
Luxury Dresses 5000,Dresses,Clothing,9357,5,8889,True,2
Style T-Shirts 2024,T-Shirts,Clothing,6266,10,5639,True,200
Pro Smartwatches Elite,Smartwatches,Electronics,1614,10,1453,True,80
Elite Dining Sets Pro,Dining Sets,Furniture,12246,0,12246,True,7
Kitchen Appliances 9992,Kitchen Appliances,Home & Kitchen,2331,10,2098,False,0
Royal Shoes Max,Shoes,Clothing,5774,15,4908,False,0
Ultra Kitchen Appliances Elite,Kitchen Appliances,Home & Kitchen,137406,30,96184,True,500
Luxury Televisions Special,Televisions,Electronics,4349,25,3262,True,12
Dresses 6851,Dresses,Clothing,21953,30,15367,False,0
Style Sports Equipment Ultra,Sports Equipment,"Sports, Toys & Others",1975,0,1975,False,0
Vogue T-Shirts Max,T-Shirts,Clothing,4708,0,4708,True,3
Sneakers 6206,Sneakers,Clothing,49248,25,36936,True,500
Neo Headphones Lite,Headphones,Electronics,2181,15,1854,True,2
Elite Toys 5000,Toys,"Sports, Toys & Others",51988,0,51988,False,0
Sarees 8017,Sarees,Clothing,12365,35,8037,True,10
Neo Speakers Ultra,Speakers,Electronics,2372,35,1542,True,300
Tablets 8145,Tablets,Electronics,11212,20,8970,True,6
Neo Dresses 2024,Dresses,Clothing,17447,0,17447,True,12
Neo Dresses Special,Dresses,Clothing,11058,35,7188,True,10
Neo Headphones Lite,Headphones,Electronics,640,20,512,False,0
Ultra Toys S,Toys,"Sports, Toys & Others",1915,35,1245,True,3
Ultra Fragrances Elite,Fragrances,Beauty & Personal Care,3572,30,2500,True,5
Jeans 3293,Jeans,Clothing,4473,35,2907,True,6
Headphones 4218,Headphones,Electronics,11042,15,9386,True,40
Style Home Decor Max,Home Decor,Home & Kitchen,6208,0,6208,True,5
Shirts 1305,Shirts,Clothing,868,25,651,True,15
Activewear 1511,Activewear,Clothing,8078,25,6058,True,6
Shirts 7637,Shirts,Clothing,10898,30,7629,True,100
Gaming Consoles 4485,Gaming Consoles,Electronics,10202,0,10202,True,300
Home Decor 5269,Home Decor,Home & Kitchen,20082,0,20082,True,12
Royal Toys Special,Toys,"Sports, Toys & Others",14569,50,7284,False,0
Elite Speakers 5000,Speakers,Electronics,8951,30,6266,False,0
Super Dresses Lite,Dresses,Clothing,4498,50,2249,True,2
Royal Office Chairs Max,Office Chairs,Furniture,569,30,398,True,6
Royal Sports Equipment X,Sports Equipment,"Sports, Toys & Others",8614,20,6891,False,0
Value Shirts S,Shirts,Clothing,6455,25,4841,True,12
Makeup 3299,Makeup,Beauty & Personal Care,7014,50,3507,True,300
Elite Skincare 2024,Skincare,Beauty & Personal Care,937,20,750,False,0
Gaming Consoles 8921,Gaming Consoles,Electronics,1209,25,907,True,30
Cookware 1662,Cookware,Home & Kitchen,19374,0,19374,True,10
Classic T-Shirts Ultra,T-Shirts,Clothing,4681,15,3979,False,0
Neo Sports Equipment Ultra,Sports Equipment,"Sports, Toys & Others",11951,30,8366,True,6
Pro Shirts 5000,Shirts,Clothing,5112,5,4856,True,10
Classic Home Decor Pro,Home Decor,Home & Kitchen,5122,0,5122,True,10
Style Gaming Consoles 3000,Gaming Consoles,Electronics,16686,10,15017,True,30
Royal Sofas Elite,Sofas,Furniture,2519,5,2393,True,300
Kurtas 5314,Kurtas,Clothing,5583,0,5583,True,7
Vogue Toys S,Toys,"Sports, Toys & Others",2702,15,2297,False,0
